objectid,parentid,title,description,coverage,isPartOf,creator,publisher,source,date,type,format,extent,language,relation,rights,license,display_template,object_location,image_small,image_thumb,image_alt_text
m10671_2,abb10671,"Oberried-Altar, Flügel mit der Darstellung der Geburt Christi und der Anbetung der Heiligen Drei Könige (rechts)","Religiöse Stiftungen dienten in der Zeit vor der Reformation dem eigenen Seelenheil und stillten zugleich das Bedürfnis, die eigene Frömmigkeit zur Schau zu stellen. Die Basler Bankiers- und Kaufmannsfamilie der Zscheckenbürlin investierte bis in die 1520er-Jahre viel Geld in solche Stiftungen. Einen Flügelaltar, der die Geburt Christi und die Anbetung der Drei Könige zeigt, liessen Amalie Zscheckenbürlin und ihr Gatte, Hans Oberried d. Ä., von Hans Holbein d. J. vermutlich für die Basler Kartause anfertigen. An den unteren Rändern liess sich die Stifterfamilie selbst abbilden. 1529 nahm das Ehepaar, das beim alten Glauben blieb, die Bilder mit nach Freiburg im Breisgau.",Frühe Neuzeit,,[Hans Holbein der Jüngere](https://www.wikidata.org/wiki/Q48319),"Jochen Sander, Hans Holbein d. J. Tafelmaler in Basel 1515-1532, München 2005, S. 388","[Oberried Altar (rechts), Wikipedia](https://ca.wikipedia.org/wiki/Fitxer:Oberried_Altarpiece_(right_wing_panel,_the_birth_of_Christ),_by_Hans_Holbein_the_Younger.jpg)",1525~,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,1392x2940,de,"[Oberried (Familie), Historisches Lexikon der Schweiz](https://hls-dhs-dss.ch/de/articles/020981/2008-12-03/);[Hans Holbein der Jüngere, Wikipedia](https://de.wikipedia.org/wiki/Hans_Holbein_der_J%C3%BCngere);[Hans Holbein der Jüngere, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/018297/2011-11-03/)",Wikimedia Commons - Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,image,https://omeka.unibe.ch/files/original/e7c09209628de8074a52ebfb23bd9362b8b3ad7c.jpg,objects/e7c09209628de8074a52ebfb23bd9362b8b3ad7c.jpg,objects/e7c09209628de8074a52ebfb23bd9362b8b3ad7c.jpg,
abb10824,,Statue des heiligen Laurentius,"Die Kratz- und Stichspuren im Gesicht des heiligen Laurentius, dessen Statue bis in die Reformationszeit in der Kapelle auf dem Andreasplatz stand, zeugen von den Attacken der Bilderstürmer.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/ed8c8c8133edddc0051eb233b4439ae953b213bc.jpg,objects/ed8c8c8133edddc0051eb233b4439ae953b213bc.jpg,
m10824_1,abb10824,Statue des heiligen Laurentius,"Die Kratz- und Stichspuren im Gesicht des heiligen Laurentius, dessen Statue bis in die Reformationszeit in der Kapelle auf dem Andreasplatz stand, zeugen von den Attacken der Bilderstürmer.",Frühe Neuzeit,,Anonym,[Historisches Museum Basel](https://www.hmb.ch/),[Historisches Museum Basel Inv. 1910.117](https://www.hmb.ch/museen/sammlungsobjekte/einzelansicht/s/hl-laurentius/),1480~,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,1766x2223,de,"Sieber-Lehmann, Claudius&#59 Schwarz, Peter-Andrew: Eine Bischofsstadt zwischen Oberrhein und Jura. 800-1273, Basel 2024 (Stadt.Geschichte.Basel 2).;[Kapelle auf dem Andreasplatz](https://www.andreasplatz.ch/fr%C3%BChere-nutzungen/andreaskapelle/)","CC BY-SA 4.0, Historisches Museum Basel, Inv. 1910.117, Foto Peter Portner",https://creativecommons.org/licenses/by-sa/4.0/,image,https://omeka.unibe.ch/files/original/ed8c8c8133edddc0051eb233b4439ae953b213bc.jpg,objects/ed8c8c8133edddc0051eb233b4439ae953b213bc.jpg,objects/ed8c8c8133edddc0051eb233b4439ae953b213bc.jpg,
m10824_2,abb10824,Statue des heiligen Laurentius (Detail),"Die Kratz- und Stichspuren im Gesicht des heiligen Laurentius, dessen Statue bis in die Reformationszeit in der Kapelle auf dem Andreasplatz stand, zeugen von den Attacken der Bilderstürmer.",Frühe Neuzeit,,Anonym,[Historisches Museum Basel](https://www.hmb.ch/),[Historisches Museum Basel Inv. 1910.117](https://www.hmb.ch/museen/sammlungsobjekte/einzelansicht/s/hl-laurentius/),1480~,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,1766x2223,de,"Sieber-Lehmann, Claudius&#59 Schwarz, Peter-Andrew: Eine Bischofsstadt zwischen Oberrhein und Jura. 800-1273, Basel 2024 (Stadt.Geschichte.Basel 2).;[Kapelle auf dem Andreasplatz](https://www.andreasplatz.ch/fr%C3%BChere-nutzungen/andreaskapelle/)","CC BY-SA 4.0, Historisches Museum Basel, Inv. 1910.117, Foto Peter Portner",https://creativecommons.org/licenses/by-sa/4.0/,image,https://omeka.unibe.ch/files/original/bde819bddf74b86095ad584353e48898de4ee92c.tif,objects/bde819bddf74b86095ad584353e48898de4ee92c.jpg,objects/bde819bddf74b86095ad584353e48898de4ee92c.jpg,
abb10954,,Predigt von Oekolampad im Münster,"In Predigten, zu denen Frauen und Männer zahlreich erschienen, wurde die reformatorische Lehre verbreitet. Was die Menschen glauben sollten, erläuterten der Basler Reformator Oekolampad und andere Priester durch die Auslegung von Bibelstellen. Diese Interaktion zwischen reformatorisch gesinnten Geistlichen und der Gemeinde war für die Reformation ebenso wichtig wie der Druck von Büchern, Schriften und Flugblättern, mit denen gegen die alte Kirche polemisiert und der neue Glaube propagiert wurde.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/54812ae5bc76ef8c9055f5ba421353161157a901.jpg,objects/54812ae5bc76ef8c9055f5ba421353161157a901.jpg,
m10954,abb10954,Predigt von Oekolampad im Münster,"In Predigten, zu denen Frauen und Männer zahlreich erschienen, wurde die reformatorische Lehre verbreitet. Was die Menschen glauben sollten, erläuterten der Basler Reformator Oekolampad und andere Priester durch die Auslegung von Bibelstellen. Diese Interaktion zwischen reformatorisch gesinnten Geistlichen und der Gemeinde war für die Reformation ebenso wichtig wie der Druck von Büchern, Schriften und Flugblättern, mit denen gegen die alte Kirche polemisiert und der neue Glaube propagiert wurde.",Frühe Neuzeit,,[Hans Holbein der Jüngere](https://www.wikidata.org/wiki/Q48319);[Peter Vischer (zugeschrieben)](https://www.wikidata.org/wiki/Q63126104),[Staatsarchiv Basel-Stadt](https://dls.staatsarchiv.bs.ch/),[Staatsarchiv Basel-Stadt BILD Falk. A 100](https://dls.staatsarchiv.bs.ch/records/582136),1515,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,6716x7550,de,"[Hans Holbein der Jüngere, Wikipedia](https://de.wikipedia.org/wiki/Hans_Holbein_der_J%C3%BCngere);[Hans Holbein der Jüngere, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/018297/2011-11-03/);[Johannes Oekolampad, Wikipedia](https://de.wikipedia.org/wiki/Johannes_Oekolampad);[Johannes Oekolampad, Historisches Lexikon der Schweiz](https://hls-dhs-dss.ch/de/articles/010779/2010-09-14/);[abb10970](https://forschung.stadtgeschichtebasel.ch/items/abb10970.html#m10970)","Bilddaten gemeinfrei - Staatsarchiv Basel-Stadt, BILD Falk. A 100",https://creativecommons.org/publicdomain/mark/1.0/,image,https://omeka.unibe.ch/files/original/54812ae5bc76ef8c9055f5ba421353161157a901.tif,objects/54812ae5bc76ef8c9055f5ba421353161157a901.jpg,objects/54812ae5bc76ef8c9055f5ba421353161157a901.jpg,
abb10970,,Johannes Oekolampad,Der Theologieprofessor und Prediger Johannes Oekolampad wurde zur Führungsfigur der Basler Reformation. Hans Asper stellte ihn mit der Bibel als dem zentralen Leitbild des neuen Glaubens dar.,Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/4442515992e0638dd86563a13bfba1035c1e8fca.jpg,objects/4442515992e0638dd86563a13bfba1035c1e8fca.jpg,
m10970,abb10970,Johannes Oekolampad,Der Theologieprofessor und Prediger Johannes Oekolampad wurde zur Führungsfigur der Basler Reformation. Hans Asper stellte ihn mit der Bibel als dem zentralen Leitbild des neuen Glaubens dar.,Frühe Neuzeit,,[Hans Asper](https://www.wikidata.org/wiki/Q115752),[Kunstmuseum Basel](https://kunstmuseumbasel.ch/),[KMB Inv. 12](https://sammlungonline.kunstmuseumbasel.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=1074&viewType=detailView),1531/1550,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,5067x6031,,"[Hans Asper, Wikipedia](https://de.wikipedia.org/wiki/Hans_Asper);[Hans Asper, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/018317/2001-10-17/);[Johannes Oekolampad, Wikipedia](https://de.wikipedia.org/wiki/Johannes_Oekolampad);[Johannes Oekolampad, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/010779/2010-09-14/);[abb10954](https://forschung.stadtgeschichtebasel.ch/items/abb10954.html#m10954);[abb11092](https://forschung.stadtgeschichtebasel.ch/items/abb11092.html#m11092)","Bilddaten gemeinfrei - Kunstmuseum Basel
KMB, Inv. 12",https://creativecommons.org/publicdomain/mark/1.0/,image,https://omeka.unibe.ch/files/original/4442515992e0638dd86563a13bfba1035c1e8fca.jpg,objects/4442515992e0638dd86563a13bfba1035c1e8fca.jpg,objects/4442515992e0638dd86563a13bfba1035c1e8fca.jpg,
abb11092,,Medaillon der Wibrandis Rosenblatt,"Die junge Witwe Wibrandis Rosenblatt heiratete 1528 Johannes Oekolampad. Mit dieser Priesterehe setzten die beiden ein Zeichen für die Reformation. Nach Oekolampads frühem Tod zog Rosenblatt nach Strassburg und heiratete 1531 Wolfgang Capito und, nachdem auch dieser verstorben war, 1542 Martin Bucer. Als Frau dreier bedeutender Stadtreformatoren wurde Rosenblatt zum Inbegriff der neuen evangelischen Pfarrfrau.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/8f7ba622b920ae6058082d7481a5905c7017d894.jpg,objects/8f7ba622b920ae6058082d7481a5905c7017d894.jpg,
m11092,abb11092,Medaillon der Wibrandis Rosenblatt,"Die junge Witwe Wibrandis Rosenblatt heiratete 1528 Johannes Oekolampad. Mit dieser Priesterehe setzten die beiden ein Zeichen für die Reformation. Nach Oekolampads frühem Tod zog Rosenblatt nach Strassburg und heiratete 1531 Wolfgang Capito und, nachdem auch dieser verstorben war, 1542 Martin Bucer. Als Frau dreier bedeutender Stadtreformatoren wurde Rosenblatt zum Inbegriff der neuen evangelischen Pfarrfrau.",Frühe Neuzeit,,Anonym,Privatsammlung,Privatsammlung,16XX,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,1799x1904,de,"[Wibrandis Rosenblatt](https://www.wikidata.org/wiki/Q120460);[Wibrandis Rosenblatt Wikipedia](https://de.wikipedia.org/wiki/Wibrandis_Rosenblatt);[Wibrandis Rosenblatt, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/010805/2010-11-12/);[m10970](https://forschung.stadtgeschichtebasel.ch/items/abb10970.html#m10970)","CC-BY-SA 4.0, Foto Historisches Museum Basel, Maurice Babey",https://creativecommons.org/licenses/by-sa/4.0/,image,https://omeka.unibe.ch/files/original/8f7ba622b920ae6058082d7481a5905c7017d894.tif,objects/8f7ba622b920ae6058082d7481a5905c7017d894.jpg,objects/8f7ba622b920ae6058082d7481a5905c7017d894.jpg,
abb11135,,Konfessionelle Verhältnisse in der Region Basel im 16. und 17. Jahrhundert,Durch die Reformation löste sich die Einheit der christlichen Kirche auf. Neben politischen prägten von nun an auch konfessionelle Grenzen die Region um Basel.,Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/6ade76486ca011cc38fe7286613eb3860d11abf8.jpg,objects/6ade76486ca011cc38fe7286613eb3860d11abf8.jpg,
m11135_1,abb11135,Konfessionelle Verhältnisse in der Region Basel im 16. und 17. Jahrhundert,Durch die Reformation löste sich die Einheit der christlichen Kirche auf. Neben politischen prägten von nun an auch konfessionelle Grenzen die Region um Basel.,Frühe Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),"Salvisberg, André u. a.&#59 Christoph Merian Verlag (Hg.): Historischer Atlas der Region Basel. Geschichte der Grenzen, Basel 2010, S. 57.",1500/1700,[Image](http://purl.org/dc/dcmitype/Image),application/pdf,1665x1683,,,"CC BY-SA 4.0, Camillo Kohli, Kohli Kartografie
Quelle: Salvisberg 2010, S. 57; Kohli Kartografie.
Bearbeitung: Nico Görlich / Moritz Twente",https://creativecommons.org/licenses/by/4.0/,pdf,https://omeka.unibe.ch/files/original/7193251acc7232087dc99efd89eba18fbb1107b2.pdf,objects/6ade76486ca011cc38fe7286613eb3860d11abf8.jpg,objects/6ade76486ca011cc38fe7286613eb3860d11abf8.jpg,
m11135_2,abb11135,Legende zur Karte ‹Konfessionelle Verhältnisse in der Region Basel im 16. und 17. Jahrhundert›,Durch die Reformation löste sich die Einheit der christlichen Kirche auf. Neben politischen prägten von nun an auch konfessionelle Grenzen die Region um Basel.,Frühe Neuzeit,,[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),[Stadt.Geschichte.Basel](https://www.wikidata.org/wiki/Q122442230),"Salvisberg, André u. a.&#59 Christoph Merian Verlag (Hg.): Historischer Atlas der Region Basel. Geschichte der Grenzen, Basel 2010, S. 57.",1500/1700,[Image](http://purl.org/dc/dcmitype/Image),application/pdf,994x425,,,"CC BY-SA 4.0, Camillo Kohli, Kohli Kartografie
Quelle: Salvisberg 2010, S. 57; Kohli Kartografie.
Bearbeitung: Nico Görlich / Moritz Twente",https://creativecommons.org/licenses/by/4.0/,pdf,https://omeka.unibe.ch/files/original/0ce0f6cd29bf479abcfcdf0a77ec83e57d9adf4f.pdf,objects/5028122af0fa24fc42b49e38f2f942bd6deff393.jpg,objects/5028122af0fa24fc42b49e38f2f942bd6deff393.jpg,
abb24548,,Münz- und Mineralienbuch,"Die doppelseitige Federzeichnung aus einem Manuskript des Basler Kaufmanns, Ratsherrn und städtischen Silberführers Andreas Ryff zeigt eine Bergwerkslandschaft, flankiert von Fortuna, die auf einer Kugel im stürmischen Meer balanciert. Nur eine Säule in der Bildmitte trennt die Schicksalsgöttin und das Meer vom emsigen Treiben in den Bergwerken und Produktionsstätten. Neben Ryffs Engagement im Bergbau sowie im Seiden- und Tuchgeschäft trug er auch eine ansehnliche Sammlung an Mineralien, Goldschmiedearbeiten und Münzen zusammen. Dieser Sammlung widmete er das mit zahlreichen Federzeichnungen illustrierte ‹Münz- und Mineralienbuch›. Es ist zugleich ein Zeugnis lokaler Wirtschaftspraktiken, Objekt bürgerlicher Repräsentation und Inszenierung einer politischen und religiösen Weltordnung.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/71b47b186772f626d1505b7b4c73572b81a76cd8.jpg,objects/71b47b186772f626d1505b7b4c73572b81a76cd8.jpg,
